country,year,week,cases_by_week,deaths_by_week
AFGHANISTAN,2023,1,3167.0,0.0
AFGHANISTAN,2024,1,0.0,0.0
AFGHANISTAN,2023,2,2447.0,2.0
AFGHANISTAN,2024,2,4063.0,5.0
AFGHANISTAN,2023,3,2002.0,1.0
AFGHANISTAN,2024,3,2372.0,3.0
AFGHANISTAN,2023,4,2012.0,0.0
AFGHANISTAN,2024,4,1967.0,0.0
AFGHANISTAN,2023,5,2266.0,1.0
AFGHANISTAN,2024,5,1847.0,0.0
AFGHANISTAN,2023,6,2339.0,1.0
AFGHANISTAN,2024,6,1722.0,0.0
AFGHANISTAN,2023,7,2263.0,1.0
AFGHANISTAN,2024,7,1808.0,1.0
AFGHANISTAN,2023,8,2836.0,1.0
AFGHANISTAN,2024,8,1787.0,1.0
AFGHANISTAN,2023,9,1815.0,0.0
AFGHANISTAN,2024,9,1784.0,2.0
AFGHANISTAN,2023,10,9927.0,1.0
AFGHANISTAN,2024,10,1890.0,0.0
AFGHANISTAN,2023,11,0.0,0.0
AFGHANISTAN,2024,11,1642.0,0.0
AFGHANISTAN,2023,12,0.0,0.0
AFGHANISTAN,2024,12,1837.0,1.0
AFGHANISTAN,2023,13,0.0,0.0
AFGHANISTAN,2024,13,1834.0,0.0
AFGHANISTAN,2023,14,6055.0,5.0
AFGHANISTAN,2024,14,2044.0,0.0
AFGHANISTAN,2023,15,979.0,7.0
AFGHANISTAN,2024,15,1893.0,0.0
AFGHANISTAN,2023,16,2226.0,0.0
AFGHANISTAN,2024,16,2233.0,1.0
AFGHANISTAN,2023,17,3717.0,4.0
AFGHANISTAN,2024,17,2584.0,2.0
AFGHANISTAN,2023,18,3704.0,2.0
AFGHANISTAN,2024,18,2626.0,2.0
AFGHANISTAN,2023,19,3419.0,1.0
AFGHANISTAN,2024,19,3142.0,4.0
AFGHANISTAN,2023,20,3901.0,0.0
AFGHANISTAN,2024,20,3566.0,3.0
AFGHANISTAN,2023,21,4451.0,1.0
AFGHANISTAN,2024,21,4117.0,0.0
AFGHANISTAN,2023,22,4461.0,0.0
AFGHANISTAN,2024,22,4906.0,1.0
AFGHANISTAN,2023,23,3767.0,2.0
AFGHANISTAN,2024,23,4743.0,1.0
AFGHANISTAN,2023,24,5704.0,3.0
AFGHANISTAN,2024,24,4749.0,4.0
AFGHANISTAN,2023,25,7007.0,6.0
AFGHANISTAN,2024,25,3884.0,3.0
AFGHANISTAN,2023,26,4763.0,1.0
AFGHANISTAN,2024,26,5310.0,4.0
AFGHANISTAN,2023,27,5573.0,3.0
AFGHANISTAN,2024,27,5809.0,2.0
AFGHANISTAN,2023,28,8050.0,3.0
AFGHANISTAN,2024,28,5926.0,6.0
AFGHANISTAN,2023,29,6924.0,4.0
AFGHANISTAN,2024,29,6388.0,1.0
AFGHANISTAN,2023,30,7083.0,3.0
AFGHANISTAN,2024,30,6828.0,1.0
AFGHANISTAN,2023,31,7716.0,6.0
AFGHANISTAN,2024,31,6369.0,2.0
AFGHANISTAN,2023,32,8306.0,4.0
AFGHANISTAN,2024,32,6479.0,3.0
AFGHANISTAN,2023,33,8153.0,4.0
AFGHANISTAN,2024,33,6081.0,3.0
AFGHANISTAN,2023,34,7510.0,7.0
AFGHANISTAN,2023,35,7655.0,2.0
AFGHANISTAN,2023,36,6580.0,6.0
AFGHANISTAN,2023,37,6588.0,
AFGHANISTAN,2023,38,5874.0,3.0
AFGHANISTAN,2023,39,5464.0,2.0
AFGHANISTAN,2023,40,5008.0,1.0
AFGHANISTAN,2023,41,3734.0,0.0
AFGHANISTAN,2023,42,5278.0,3.0
AFGHANISTAN,2023,43,4612.0,5.0
AFGHANISTAN,2023,44,4232.0,
AFGHANISTAN,2023,45,4333.0,1.0
AFGHANISTAN,2023,46,3242.0,0.0
AFGHANISTAN,2023,47,2662.0,0.0
AFGHANISTAN,2023,48,3000.0,2.0
AFGHANISTAN,2023,49,2422.0,4.0
AFGHANISTAN,2023,50,2378.0,1.0
AFGHANISTAN,2023,51,2148.0,0.0
AFGHANISTAN,2023,52,2496.0,1.0
BANGLADESH,2023,1,3.0,0.0
BANGLADESH,2024,1,0.0,0.0
BANGLADESH,2023,2,1.0,0.0
BANGLADESH,2024,2,0.0,0.0
BANGLADESH,2023,3,0.0,0.0
BANGLADESH,2024,3,1.0,0.0
BANGLADESH,2023,4,3.0,0.0
BANGLADESH,2024,4,0.0,0.0
BANGLADESH,2023,5,3.0,0.0
BANGLADESH,2024,5,0.0,0.0
BANGLADESH,2023,6,1.0,0.0
BANGLADESH,2024,6,2.0,0.0
BANGLADESH,2023,7,1.0,0.0
BANGLADESH,2024,7,0.0,0.0
BANGLADESH,2023,8,4.0,0.0
BANGLADESH,2024,8,0.0,0.0
BANGLADESH,2023,9,2.0,0.0
BANGLADESH,2024,9,0.0,0.0
BANGLADESH,2023,10,1.0,0.0
BANGLADESH,2024,10,0.0,0.0
BANGLADESH,2023,11,0.0,0.0
BANGLADESH,2024,11,0.0,0.0
BANGLADESH,2023,12,5.0,0.0
BANGLADESH,2024,12,0.0,0.0
BANGLADESH,2023,13,35.0,0.0
BANGLADESH,2024,13,0.0,0.0
BANGLADESH,2023,14,26.0,0.0
BANGLADESH,2024,14,0.0,0.0
BANGLADESH,2023,15,7.0,0.0
BANGLADESH,2024,15,0.0,0.0
BANGLADESH,2023,16,6.0,0.0
BANGLADESH,2024,16,2.0,0.0
BANGLADESH,2023,17,0.0,0.0
BANGLADESH,2024,17,1.0,0.0
BANGLADESH,2023,18,4.0,0.0
BANGLADESH,2024,18,0.0,0.0
BANGLADESH,2023,19,5.0,0.0
BANGLADESH,2024,19,1.0,0.0
BANGLADESH,2023,20,0.0,0.0
BANGLADESH,2024,20,0.0,0.0
BANGLADESH,2023,21,4.0,0.0
BANGLADESH,2024,21,1.0,0.0
BANGLADESH,2023,22,2.0,0.0
BANGLADESH,2024,22,1.0,0.0
BANGLADESH,2023,23,1.0,0.0
BANGLADESH,2024,23,0.0,0.0
BANGLADESH,2023,24,2.0,0.0
BANGLADESH,2024,24,0.0,0.0
BANGLADESH,2023,25,0.0,0.0
BANGLADESH,2024,25,0.0,0.0
BANGLADESH,2023,26,0.0,0.0
BANGLADESH,2024,26,15.0,0.0
BANGLADESH,2023,27,1.0,0.0
BANGLADESH,2024,27,0.0,0.0
BANGLADESH,2023,28,0.0,0.0
BANGLADESH,2024,28,46.0,0.0
BANGLADESH,2023,29,1.0,0.0
BANGLADESH,2024,29,0.0,0.0
BANGLADESH,2023,30,0.0,0.0
BANGLADESH,2024,30,16.0,0.0
BANGLADESH,2023,31,3.0,0.0
BANGLADESH,2024,31,13.0,0.0
BANGLADESH,2023,32,0.0,0.0
BANGLADESH,2024,32,14.0,0.0
BANGLADESH,2023,33,0.0,0.0
BANGLADESH,2024,33,25.0,0.0
BANGLADESH,2023,34,0.0,0.0
BANGLADESH,2023,35,0.0,0.0
BANGLADESH,2023,36,0.0,0.0
BANGLADESH,2023,37,0.0,0.0
BANGLADESH,2023,38,0.0,0.0
BANGLADESH,2023,39,0.0,0.0
BANGLADESH,2023,40,0.0,0.0
BANGLADESH,2023,41,13.0,0.0
BANGLADESH,2023,42,2.0,0.0
BANGLADESH,2023,43,5.0,0.0
BANGLADESH,2023,44,0.0,0.0
BANGLADESH,2023,45,10.0,0.0
BANGLADESH,2023,46,3.0,0.0
BANGLADESH,2023,47,0.0,0.0
BANGLADESH,2023,48,2.0,0.0
BANGLADESH,2023,49,2.0,0.0
BANGLADESH,2023,50,0.0,0.0
BANGLADESH,2023,51,0.0,0.0
BANGLADESH,2023,52,0.0,0.0
BURUNDI,2023,1,0.0,0.0
BURUNDI,2024,1,11.0,0.0
BURUNDI,2023,2,49.0,1.0
BURUNDI,2024,2,13.0,0.0
BURUNDI,2023,3,12.0,0.0
BURUNDI,2024,3,8.0,0.0
BURUNDI,2023,4,20.0,0.0
BURUNDI,2024,4,14.0,0.0
BURUNDI,2023,5,13.0,0.0
BURUNDI,2024,5,10.0,0.0
BURUNDI,2023,6,3.0,0.0
BURUNDI,2024,6,11.0,0.0
BURUNDI,2023,7,4.0,0.0
BURUNDI,2024,7,15.0,0.0
BURUNDI,2023,8,13.0,0.0
BURUNDI,2024,8,3.0,0.0
BURUNDI,2023,9,7.0,0.0
BURUNDI,2024,9,2.0,0.0
BURUNDI,2023,10,27.0,0.0
BURUNDI,2024,10,10.0,0.0
BURUNDI,2023,11,11.0,0.0
BURUNDI,2024,11,4.0,0.0
BURUNDI,2023,12,13.0,0.0
BURUNDI,2024,12,8.0,0.0
BURUNDI,2023,13,9.0,0.0
BURUNDI,2024,13,1.0,0.0
BURUNDI,2023,14,22.0,0.0
BURUNDI,2024,14,11.0,0.0
BURUNDI,2023,15,54.0,0.0
BURUNDI,2024,15,13.0,0.0
BURUNDI,2023,16,40.0,2.0
BURUNDI,2024,16,27.0,0.0
BURUNDI,2023,17,34.0,0.0
BURUNDI,2024,17,36.0,0.0
BURUNDI,2023,18,25.0,0.0
BURUNDI,2024,18,49.0,0.0
BURUNDI,2023,19,28.0,2.0
BURUNDI,2024,19,70.0,1.0
BURUNDI,2023,20,24.0,0.0
BURUNDI,2024,20,119.0,0.0
BURUNDI,2023,21,18.0,2.0
BURUNDI,2024,21,60.0,0.0
BURUNDI,2023,22,42.0,0.0
BURUNDI,2024,22,27.0,1.0
BURUNDI,2023,23,26.0,2.0
BURUNDI,2024,23,20.0,0.0
BURUNDI,2023,24,17.0,0.0
BURUNDI,2024,24,21.0,0.0
BURUNDI,2023,25,7.0,0.0
BURUNDI,2024,25,20.0,0.0
BURUNDI,2023,26,20.0,0.0
BURUNDI,2024,26,37.0,1.0
BURUNDI,2023,27,11.0,0.0
BURUNDI,2024,27,43.0,0.0
BURUNDI,2023,28,8.0,0.0
BURUNDI,2024,28,24.0,0.0
BURUNDI,2023,29,10.0,0.0
BURUNDI,2024,29,12.0,0.0
BURUNDI,2023,30,6.0,0.0
BURUNDI,2024,30,17.0,0.0
BURUNDI,2023,31,6.0,0.0
BURUNDI,2024,31,8.0,0.0
BURUNDI,2023,32,6.0,0.0
BURUNDI,2024,32,4.0,0.0
BURUNDI,2023,33,6.0,0.0
BURUNDI,2024,33,9.0,0.0
BURUNDI,2023,34,53.0,0.0
BURUNDI,2023,35,77.0,0.0
BURUNDI,2023,36,77.0,0.0
BURUNDI,2023,37,93.0,0.0
BURUNDI,2023,38,100.0,0.0
BURUNDI,2023,39,67.0,0.0
BURUNDI,2023,40,65.0,0.0
BURUNDI,2023,41,48.0,0.0
BURUNDI,2023,42,23.0,0.0
BURUNDI,2023,43,28.0,0.0
BURUNDI,2023,44,23.0,0.0
BURUNDI,2023,45,28.0,0.0
BURUNDI,2023,46,18.0,0.0
BURUNDI,2023,47,10.0,0.0
BURUNDI,2023,48,17.0,0.0
BURUNDI,2023,49,12.0,0.0
BURUNDI,2023,50,5.0,0.0
BURUNDI,2023,51,2.0,0.0
BURUNDI,2023,52,10.0,0.0
CAMEROON,2023,1,16.0,0.0
CAMEROON,2024,1,12.0,0.0
CAMEROON,2023,2,14.0,0.0
CAMEROON,2024,2,3.0,0.0
CAMEROON,2023,3,16.0,0.0
CAMEROON,2024,3,6.0,0.0
CAMEROON,2023,4,20.0,1.0
CAMEROON,2024,4,5.0,0.0
CAMEROON,2023,5,38.0,3.0
CAMEROON,2024,5,8.0,0.0
CAMEROON,2023,6,23.0,1.0
CAMEROON,2024,6,5.0,0.0
CAMEROON,2023,7,27.0,2.0
CAMEROON,2024,7,1.0,0.0
CAMEROON,2023,8,16.0,1.0
CAMEROON,2024,8,6.0,0.0
CAMEROON,2023,9,20.0,1.0
CAMEROON,2024,9,2.0,0.0
CAMEROON,2023,10,8.0,0.0
CAMEROON,2024,10,0.0,0.0
CAMEROON,2023,11,9.0,0.0
CAMEROON,2024,11,0.0,0.0
CAMEROON,2023,12,10.0,1.0
CAMEROON,2024,12,0.0,0.0
CAMEROON,2023,13,33.0,2.0
CAMEROON,2024,13,0.0,0.0
CAMEROON,2023,14,78.0,3.0
CAMEROON,2024,14,0.0,0.0
CAMEROON,2023,15,67.0,1.0
CAMEROON,2024,15,0.0,0.0
CAMEROON,2023,16,261.0,14.0
CAMEROON,2024,16,0.0,0.0
CAMEROON,2023,17,483.0,21.0
CAMEROON,2024,17,1.0,0.0
CAMEROON,2023,18,413.0,23.0
CAMEROON,2024,18,0.0,0.0
CAMEROON,2023,19,536.0,19.0
CAMEROON,2024,19,0.0,0.0
CAMEROON,2023,20,574.0,19.0
CAMEROON,2024,20,0.0,0.0
CAMEROON,2023,21,452.0,13.0
CAMEROON,2024,21,0.0,0.0
CAMEROON,2023,22,492.0,12.0
CAMEROON,2024,22,0.0,0.0
CAMEROON,2023,23,357.0,11.0
CAMEROON,2024,23,0.0,0.0
CAMEROON,2023,24,300.0,8.0
CAMEROON,2023,25,147.0,4.0
CAMEROON,2023,26,97.0,1.0
CAMEROON,2023,27,68.0,3.0
CAMEROON,2023,28,60.0,0.0
CAMEROON,2023,29,72.0,4.0
CAMEROON,2023,30,122.0,5.0
CAMEROON,2023,31,116.0,3.0
CAMEROON,2023,32,93.0,0.0
CAMEROON,2023,33,75.0,4.0
CAMEROON,2023,34,237.0,2.0
CAMEROON,2023,35,149.0,0.0
CAMEROON,2023,36,134.0,3.0
CAMEROON,2023,37,160.0,1.0
CAMEROON,2023,38,149.0,4.0
CAMEROON,2023,39,110.0,3.0
CAMEROON,2023,40,67.0,0.0
CAMEROON,2023,41,75.0,0.0
CAMEROON,2023,42,65.0,6.0
CAMEROON,2023,43,41.0,1.0
CAMEROON,2023,44,39.0,2.0
CAMEROON,2023,45,30.0,5.0
CAMEROON,2023,46,18.0,1.0
CAMEROON,2023,47,16.0,1.0
CAMEROON,2023,48,20.0,0.0
CAMEROON,2023,49,7.0,0.0
CAMEROON,2023,50,0.0,0.0
CAMEROON,2023,51,0.0,0.0
CAMEROON,2023,52,47.0,0.0
COMOROS,2024,6,16.0,2.0
COMOROS,2024,7,74.0,4.0
COMOROS,2024,8,29.0,0.0
COMOROS,2024,9,23.0,0.0
COMOROS,2024,10,43.0,1.0
COMOROS,2024,11,134.0,5.0
COMOROS,2024,12,161.0,2.0
COMOROS,2024,13,198.0,3.0
COMOROS,2024,14,195.0,5.0
COMOROS,2024,15,611.0,16.0
COMOROS,2024,16,835.0,17.0
COMOROS,2024,17,925.0,12.0
COMOROS,2024,18,1322.0,25.0
COMOROS,2024,19,1111.0,21.0
COMOROS,2024,20,951.0,2.0
COMOROS,2024,21,707.0,6.0
COMOROS,2024,22,265.0,3.0
COMOROS,2024,23,1357.0,10.0
COMOROS,2024,24,0.0,0.0
COMOROS,2024,25,914.0,12.0
COMOROS,2024,26,271.0,1.0
COMOROS,2024,27,0.0,0.0
COMOROS,2024,28,146.0,2.0
COMOROS,2024,29,4.0,0.0
COMOROS,2024,30,50.0,0.0
COMOROS,2024,31,0.0,0.0
COMOROS,2024,32,0.0,0.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,1,724.0,7.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,2,1355.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,2,858.0,17.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,3,759.0,3.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,3,934.0,18.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,4,764.0,3.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,4,784.0,20.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,5,607.0,1.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,5,877.0,17.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,6,508.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,6,1099.0,47.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,7,508.0,11.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,7,1072.0,15.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,8,635.0,3.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,8,971.0,17.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,9,581.0,7.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,9,1049.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,10,650.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,10,904.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,11,1351.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,11,756.0,10.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,12,2061.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,12,879.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,13,1916.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,13,873.0,8.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,14,1491.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,14,822.0,7.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,15,1229.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,15,722.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,16,1179.0,10.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,16,844.0,15.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,17,1194.0,17.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,17,877.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,18,1034.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,18,415.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,19,961.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,19,515.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,20,993.0,2.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,20,532.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,21,1094.0,3.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,21,647.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,22,1131.0,17.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,22,852.0,3.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,23,1123.0,15.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,23,594.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,24,939.0,9.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,24,694.0,1.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,25,909.0,14.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,25,471.0,2.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,26,947.0,8.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,26,377.0,0.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,27,1372.0,18.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,27,300.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,28,1007.0,8.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,28,443.0,0.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,29,894.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,29,171.0,3.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,30,881.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,30,330.0,1.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,31,1069.0,15.0
DEMOCRATIC REPUBLIC OF THE CONGO,2024,31,302.0,0.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,32,1005.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,33,800.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,34,918.0,10.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,35,1063.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,36,987.0,19.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,37,746.0,0.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,38,919.0,12.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,39,783.0,10.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,40,780.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,41,1106.0,11.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,42,733.0,6.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,43,728.0,2.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,44,818.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,45,875.0,17.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,46,819.0,21.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,47,901.0,14.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,48,1176.0,31.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,49,1184.0,4.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,50,1396.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,51,1378.0,5.0
DEMOCRATIC REPUBLIC OF THE CONGO,2023,52,989.0,3.0
ETHIOPIA,2023,1,35.0,0.0
ETHIOPIA,2024,1,420.0,0.0
ETHIOPIA,2023,2,58.0,0.0
ETHIOPIA,2024,2,248.0,0.0
ETHIOPIA,2023,3,74.0,0.0
ETHIOPIA,2024,3,392.0,14.0
ETHIOPIA,2023,4,56.0,0.0
ETHIOPIA,2024,4,801.0,2.0
ETHIOPIA,2023,5,56.0,0.0
ETHIOPIA,2024,5,825.0,4.0
ETHIOPIA,2023,6,123.0,0.0
ETHIOPIA,2024,6,951.0,12.0
ETHIOPIA,2023,7,126.0,1.0
ETHIOPIA,2024,7,872.0,8.0
ETHIOPIA,2023,8,150.0,0.0
ETHIOPIA,2024,8,696.0,3.0
ETHIOPIA,2023,9,160.0,0.0
ETHIOPIA,2024,9,701.0,5.0
ETHIOPIA,2023,10,151.0,3.0
ETHIOPIA,2024,10,671.0,5.0
ETHIOPIA,2023,11,379.0,0.0
ETHIOPIA,2024,11,1006.0,1.0
ETHIOPIA,2023,12,326.0,7.0
ETHIOPIA,2024,12,1326.0,2.0
ETHIOPIA,2023,13,542.0,1.0
ETHIOPIA,2024,13,1240.0,16.0
ETHIOPIA,2023,14,616.0,5.0
ETHIOPIA,2024,14,970.0,0.0
ETHIOPIA,2023,15,688.0,7.0
ETHIOPIA,2024,15,1169.0,3.0
ETHIOPIA,2023,16,937.0,6.0
ETHIOPIA,2024,16,0.0,0.0
ETHIOPIA,2023,17,751.0,4.0
ETHIOPIA,2024,17,2155.0,24.0
ETHIOPIA,2023,18,553.0,8.0
ETHIOPIA,2024,18,805.0,3.0
ETHIOPIA,2023,19,653.0,4.0
ETHIOPIA,2024,19,429.0,23.0
ETHIOPIA,2023,20,879.0,13.0
ETHIOPIA,2024,20,490.0,3.0
ETHIOPIA,2023,21,1018.0,8.0
ETHIOPIA,2024,21,1347.0,
ETHIOPIA,2023,22,1007.0,10.0
ETHIOPIA,2024,22,0.0,0.0
ETHIOPIA,2023,23,975.0,12.0
ETHIOPIA,2024,23,572.0,6.0
ETHIOPIA,2023,24,725.0,9.0
ETHIOPIA,2024,24,504.0,1.0
ETHIOPIA,2023,25,554.0,13.0
ETHIOPIA,2024,25,578.0,5.0
ETHIOPIA,2023,26,445.0,15.0
ETHIOPIA,2024,26,0.0,0.0
ETHIOPIA,2023,27,513.0,1.0
ETHIOPIA,2024,27,807.0,5.0
ETHIOPIA,2023,28,1836.0,11.0
ETHIOPIA,2024,28,226.0,12.0
ETHIOPIA,2023,29,1200.0,4.0
ETHIOPIA,2024,29,1053.0,26.0
ETHIOPIA,2023,30,542.0,1.0
ETHIOPIA,2024,30,0.0,0.0
ETHIOPIA,2023,31,783.0,2.0
ETHIOPIA,2024,31,863.0,13.0
ETHIOPIA,2023,32,990.0,17.0
ETHIOPIA,2024,32,772.0,10.0
ETHIOPIA,2023,33,838.0,40.0
ETHIOPIA,2023,34,857.0,0.0
ETHIOPIA,2023,35,830.0,7.0
ETHIOPIA,2023,36,896.0,0.0
ETHIOPIA,2023,37,1095.0,16.0
ETHIOPIA,2023,38,856.0,19.0
ETHIOPIA,2023,39,604.0,46.0
ETHIOPIA,2023,40,593.0,0.0
ETHIOPIA,2023,41,454.0,0.0
ETHIOPIA,2023,42,508.0,10.0
ETHIOPIA,2023,43,407.0,0.0
ETHIOPIA,2023,44,750.0,14.0
ETHIOPIA,2023,45,416.0,10.0
ETHIOPIA,2023,46,458.0,11.0
ETHIOPIA,2023,47,723.0,12.0
ETHIOPIA,2023,48,393.0,7.0
ETHIOPIA,2023,49,352.0,3.0
ETHIOPIA,2023,50,564.0,21.0
ETHIOPIA,2023,51,367.0,23.0
ETHIOPIA,2023,52,,44.0
HAITI,2023,1,2702.0,87.0
HAITI,2024,1,486.0,5.0
HAITI,2023,2,254.0,4.0
HAITI,2024,2,1961.0,8.0
